id;date;result_description;url
1;2020-05-05T22:39:52;reboot;http://lola.info
2;2020-05-05T06:12:29;ADP;https://lacey.com
3;2020-05-05T18:41:30;schemas iterate;https://sherman.biz
4;2020-05-05T20:01:43;Small Wooden Bike;http://ben.org
5;2020-05-05T09:32:51;Cheese Handcrafted Granite Pizza;https://ben.info
6;2020-05-05T11:03:07;Japan Sleek Bedfordshire;https://antoinette.net
7;2020-05-05T06:46:09;exuding;https://michaela.com
8;2020-05-05T16:15:45;overriding Wallis and Futuna;http://ned.info
9;2020-05-04T23:51:22;panel;https://robyn.info
10;2020-05-04T23:28:28;online;https://ruby.com
